Time,0.3,0.5,1.0,2.5,5.0,10,Temperature,Pressure,Humidity
1771628266.6076844,510,145,27,2,0,0,10.1118359375,1005.8000596386723,46.69322149707239
1771628267.6204264,510,145,27,2,0,0,10.1247265625,1005.8253183985139,46.61294983715746
1771628268.6332567,510,145,27,2,0,0,10.13546875,1005.8502650157252,46.61414017994817
1771628269.6455007,510,147,29,2,0,0,10.1458203125,1005.8778884731847,46.638627635882536
1771628270.658448,510,147,29,2,0,0,10.1587109375,1005.8881147894872,46.61671619224563
1771628271.6715913,510,147,29,2,0,0,10.171015625,1005.9140486637021,46.60057638144229
1771628272.6843364,543,156,33,2,0,0,10.16125,1005.9408735617164,46.63450303165931
1771628273.6970692,543,156,33,2,0,0,10.156171875,1005.953953433705,46.6339399605458
1771628274.7081637,543,156,33,2,0,0,10.1534375,1005.9593259359852,46.55779431847961
1771628275.7191787,510,147,31,1,0,0,10.154609375,1005.9713409824541,46.54625901221342
1771628276.7302759,510,147,31,1,0,0,10.160859375,1005.9986731795508,46.53528660393332
1771628277.7413728,510,147,31,1,0,0,10.171015625,1006.0159444004191,46.53641099131668
1771628278.7526486,540,154,25,1,0,0,10.1844921875,1006.0321802936669,46.53207103225988
1771628279.7655044,540,154,25,1,0,0,10.2012890625,1006.064085510113,46.53393103709381
1771628280.778426,540,154,25,1,0,0,10.21671875,1006.0853134045434,46.50064921876771
1771628281.7911797,540,152,23,1,0,0,10.2352734375,1006.1001614691195,46.514366703666816
1771628282.8039923,540,152,23,1,0,0,10.2579296875,1006.1219838833052,46.45273602591198
1771628283.8152313,540,152,23,1,0,0,10.2940625,1006.1466744818389,46.474227020493096
1771628284.8268075,534,150,16,1,0,0,10.330390625,1006.158327492994,46.33836015738453
1771628285.8378289,534,150,16,1,0,0,10.36359375,1006.1863842151168,46.51692356107975
1771628286.8493361,534,150,16,1,0,0,10.4020703125,1006.1849726020905,46.17156316999018
1771628287.8622963,552,154,16,1,0,0,10.431171875,1006.1826535335418,46.36699031528812
1771628288.8752162,552,154,16,1,0,0,10.4591015625,1006.1917074253477,46.510021571233835
1771628289.88793,552,154,16,1,0,0,10.485078125,1006.1874102964645,46.43708731089045
1771628290.9003215,564,152,20,1,0,0,10.5169140625,1006.194743465949,46.452281363761436
1771628291.9125774,564,152,20,1,0,0,10.55109375,1006.187672119337,46.450242978832286
1771628292.9250066,564,152,20,1,0,0,10.5821484375,1006.176953609258,46.30212388450172
1771628293.9370415,558,150,19,0,0,0,10.610078125,1006.1742898385893,46.26443261962196
1771628294.9496686,558,150,19,0,0,0,10.632734375,1006.1760306933912,46.331039842045314
1771628295.9625201,558,150,19,0,0,0,10.656171875,1006.1657239951688,46.34529615598447
1771628296.9754236,528,142,21,0,0,0,10.6801953125,1006.1647689181169,46.38877031593654
1771628297.9882867,528,142,21,0,0,0,10.7016796875,1006.1594952000904,46.27458069303294
1771628299.0011988,528,142,21,0,0,0,10.7190625,1006.1455754033315,45.98541211465379
1771628300.0152414,522,136,19,0,0,0,10.7372265625,1006.1396690501708,46.00486848466043
1771628301.02803,522,136,19,0,0,0,10.752265625,1006.1351370518283,46.02398316834459
1771628302.0416384,522,136,19,0,0,0,10.761640625,1006.1427121952461,46.07157341882406
1771628303.0544937,465,121,17,0,0,0,10.77453125,1006.1462307726291,46.16032557625908
1771628304.067424,465,121,17,0,0,0,10.7864453125,1006.1464168876212,46.23736662889839
1771628305.0802302,465,121,17,0,0,0,10.796796875,1006.1406025648503,46.30261458875721
1771628306.0931304,510,132,19,0,0,0,10.8059765625,1006.1428282868417,46.367759286539716
1771628307.1059477,510,132,19,0,0,0,10.8169140625,1006.146369226773,46.41562803279465
1771628308.1188695,510,132,19,0,0,0,10.83078125,1006.1515448211725,46.45800383827519
1771628309.1317322,465,121,19,0,0,0,10.8426953125,1006.1550724450166,46.55853967931324
1771628310.1446187,465,121,19,0,0,0,10.8534375,1006.1532634831825,46.659007358809816
1771628311.1574268,465,121,19,0,0,0,10.866328125,1006.1517608726577,46.759777841265546
1771628312.1702485,489,129,18,0,0,0,10.88234375,1006.147207119698,46.70313258960242
1771628313.1841552,489,129,18,0,0,0,10.901484375,1006.1513075294996,46.65853604106415
1771628314.1972175,489,129,18,0,0,0,10.9208203125,1006.1490490055834,46.6548563766208
1771628315.2099755,471,121,18,0,0,0,10.9434765625,1006.1574485740474,46.68075813324002
1771628316.2228637,471,121,18,0,0,0,10.9688671875,1006.1487507926967,46.71281556787972
1771628317.2357366,471,121,18,0,0,0,11.0012890625,1006.1536703257136,46.76320586956309
1771628318.2486532,483,129,19,0,0,0,11.036054687499998,1006.1441689982914,46.796336973591195
1771628319.2615247,483,129,19,0,0,0,11.0716015625,1006.1410070902307,46.85296186493732
1771628320.274045,483,129,19,0,0,0,11.111054687500001,1006.1294206147991,46.82814937518493
1771628321.2867913,471,127,13,0,0,0,11.145624999999999,1006.1279325176256,46.843732756292916
1771628322.2978714,471,127,13,0,0,0,11.180781249999999,1006.1274344834206,46.85938599176091
1771628323.3089197,471,127,13,0,0,0,11.219453125000001,1006.1262110448157,46.828636541960876
